Id,Label
B. Rifo,B. Rifo
F. Evangelisti,F. Evangelisti
C. Sebastianelli,C. Sebastianelli
A. Papetti,A. Papetti
E. Paselli,E. Paselli
P. Mango,P. Mango
F. Moro,F. Moro
N. Casiroli,N. Casiroli
R. Fiacchini,R. Fiacchini
G. Fanciulli,G. Fanciulli
S. Grieco,S. Grieco
R. Pippa,R. Pippa
E. Sinni,E. Sinni
B. Gilbo,B. Gilbo
C. A. Bixio,C. A. Bixio
Cashin,Cashin
M. Zappatini,M. Zappatini
M. Paulicelli,M. Paulicelli
Nisa,Nisa
L. Dalla,L. Dalla
U. Napolitano,U. Napolitano
C. Cofani,C. Cofani
D. Persoglio,D. Persoglio
G. Nenna,G. Nenna
V. Magelli,V. Magelli
A. Ravasio,A. Ravasio
F. Mesolella,F. Mesolella
E. Mou,E. Mou
M. Pagano,M. Pagano
P. Jannacci,P. Jannacci
S. Conforti,S. Conforti
L. Battisti,L. Battisti
S. M. Sorrentino,S. M. Sorrentino
F. Camba,F. Camba
L. Mattioni,L. Mattioni
E. Vianello,E. Vianello
S. Mattoccia,S. Mattoccia
G. Zagni,G. Zagni
R. Tini,R. Tini
F. C. Casellati,F. C. Casellati
R. Pagliarulo,R. Pagliarulo
G. Pollex,G. Pollex
J. M. Maiello Ferry,J. M. Maiello Ferry
F. Arnò,F. Arnò
M. Ciappelli,M. Ciappelli
R. Livraghi,R. Livraghi
A. Salerno,A. Salerno
Carrel,Carrel
E. B. Valdes,E. B. Valdes
S. Ortone,S. Ortone
R. Zappalorto,R. Zappalorto
R. Siani,R. Siani
G. B. Martelli,G. B. Martelli
M. Martellini,M. Martellini
F. Ciani,F. Ciani
A. Carrisi,A. Carrisi
Schiava,Schiava
A. Locatelli,A. Locatelli
I. Porceddu,I. Porceddu
C. Mattone,C. Mattone
O. Rubino,O. Rubino
L. Piscopo,L. Piscopo
E. Carella,E. Carella
D. Massa,D. Massa
A. Genovese,A. Genovese
R. Cocciante,R. Cocciante
