Writer,Songs
F. Salvi,[{'name': 'Esatto!', 'pos': 7, 'year': 1989}]
P. Magoni,[{'name': 'E ci sei', 'pos': 9, 'year': 1996}]
R. Facchinetti,[{'name': 'Innamoratevi come me', 'pos': 3, 'year': 1985}]
F. Rondanini,[{'name': 'Argentovivo', 'pos': 6, 'year': 2019}]
E. Mineo,[{'name': 'Che sia benedetta', 'pos': 2, 'year': 2017}]
C. Maccaro,[{'name': 'Quando sono lontano', 'pos': 7, 'year': 2016}]
A. Canini,[{'name': 'Meno male', 'pos': 7, 'year': 2010}]
G. Zagni,[{'name': 'Un porto nel vento', 'pos': 9, 'year': 1998}]
O. Prudente,[{'name': 'Jesahel', 'pos': 6, 'year': 1972}, {'name': 'Margherita non lo sa', 'pos': 3, 'year': 1983}]
F. Gabbani,[{'name': 'Amen', 'pos': 1, 'year': 2016}, {'name': "Occidentali's Karma", 'pos': 1, 'year': 2017}]
J. Fontana,[{'name': "Pa' diglielo a ma'", 'pos': 7, 'year': 1970}, {'name': 'Che sarà', 'pos': 2, 'year': 1971}]
F. Riccardi,[{'name': 'Siamo treni', 'pos': 8, 'year': 2002}]
S. Sichel,[{'name': 'Ogni giorno di più', 'pos': 10, 'year': 2002}]
C. Chiodo,[{'name': 'Imparare ad amarsi', 'pos': 5, 'year': 2018}]
F. Zanotti,[{'name': 'Gente come noi', 'pos': 3, 'year': 1995}, {'name': 'Storie', 'pos': 2, 'year': 1997}, {'name': 'Il linguaggio della resa', 'pos': 1, 'year': 2010}]
M. Di Paolo,[{'name': 'Aria, sole, terra e mare', 'pos': 3, 'year': 2004}]
R. Buti,[{'name': 'Strani amori', 'pos': 3, 'year': 1994}]
D. Fainello,[{'name': "L'amore", 'pos': 1, 'year': 2008}]
Depsa,[{'name': 'Non lo faccio più', 'pos': 1, 'year': 1976}, {'name': 'Ti voglio bene', 'pos': 2, 'year': 1980}, {'name': 'Oramai', 'pos': 6, 'year': 1983}, {'name': "E mo' e mo'", 'pos': 9, 'year': 1985}, {'name': 'Il sognatore', 'pos': 5, 'year': 1987}, {'name': 'Gli amori', 'pos': 2, 'year': 1990}, {'name': 'Oggi sposi', 'pos': 8, 'year': 1991}, {'name': 'Storie', 'pos': 2, 'year': 1997}]
R. Distefano,[{'name': 'Ricordi del cuore (Anime sole)', 'pos': 2, 'year': 1994}]
Luca Barbarossa,[{'name': 'Fino in fondo', 'pos': 8, 'year': 2011}]
G. Nenna,[{'name': 'La ragazza con il cuore di latta', 'pos': 7, 'year': 2019}]
M. Schembri,[{'name': "Un po' di te", 'pos': 7, 'year': 1998}, {'name': "Un po' di te", 'pos': 3, 'year': 1998}]
P. Frescura,[{'name': 'Due anelli', 'pos': 5, 'year': 1976}]
E. Pietrelli,[{'name': 'Spiove il sole', 'pos': 9, 'year': 2009}]
D. Baldan Bembo,[{'name': 'Tu cosa fai stasera?', 'pos': 3, 'year': 1981}]
G. Russo,[{'name': "Morirò d'amore", 'pos': 7, 'year': 2003}]
M. Musumeci,[{'name': 'Universo', 'pos': 3, 'year': 2017}]
R. Scalabrino,[{'name': 'Ragazza del sud', 'pos': 1, 'year': 1975}]
I. Spagna,[{'name': 'Gente come noi', 'pos': 3, 'year': 1995}, {'name': 'E io penso a te', 'pos': 4, 'year': 1996}]
A. Fresa,[{'name': 'Imparare ad amarsi', 'pos': 5, 'year': 2018}]
A. Sopranzi,[{'name': 'Perché le donne belle', 'pos': 7, 'year': 1952}]
F. Facchinetti,[{'name': 'Vivere normale', 'pos': 8, 'year': 2007}]
