track_id,track_pos,artists,track_name,writers,track_votes
1951_0,1,Nilla Pizzi,Grazie dei Fiori,G. C. Testoni- M. Panzeri-S. Seracini,50
1951_1,2,Nilla Pizzi-Achille Togliani,La luna si veste d'argento,V. Mascheroni-Biri,30
1951_2,3,Achille Togliani,Serenata a nessuno,W. Colì,20
1951_3,4,Achille Togliani-Duo Fasano,Al mercato di Pizzighettone,N. Ravasini-A. Locatelli,0
1951_4,5,Nilla Pizzi-Achille Togliani,Eco tra gli abeti,E. Bonagura-C. A. Rossi,0
1951_5,6,Achille Togliani-Duo Fasano,Famme durmì,V. Panzuti-Danpa,0
1951_6,7,Duo Fasano,La cicogna distratta,Da Rovere- A. Valleroni-Carrel,0
1951_7,8,Nilla Pizzi-Duo Fasano,La margherita,E. B. Valdes,0
1951_8,9,Achille Togliani,Sedici anni,L. Gambetti- M. Mariotti-A. Mari,0
1951_9,10,Duo Fasano,Sotto il mandorlo,G. C. Testoni- M. Panzeri-C. Donida,0
1952_0,1,Nilla Pizzi,Vola Colomba,B. Cherubini-C. Concina,80
1952_1,2,Nilla Pizzi,Papaveri e papere,N. Rastelli- M. Panzeri-V. Mascheroni,70
1952_2,3,Nilla Pizzi,Una donna prega,Pinchi-V. Panzuti,50
1952_3,4,Oscar Carboni,Madonna delle rose,G. Fiorelli-M. Ruccione,28
1952_4,5,Gino Latilla,Un disco dall'Italia,N. Salerno-G. D'Anzi,20
1952_5,6,Gino Latilla,L'attesa,Biri-N. Ravasini,19
1952_6,7,Oscar Carboni,Perché le donne belle,A. Sopranzi-G. Fassino,11
1952_7,8,Achille Togliani,Vecchie mura,Filibello-P. E. Bassi,7
1952_8,9,Achille Togliani,Libro di novelle,L. Citi-M. Casini,4
1952_9,10,Nilla Pizzi-Achille Togliani,Nel regno dei sogni,A. Papetti-C. A. Rossi,1
1953_0,1,Carla Boni-Flo Sandon's,Viale d'autunno,G. D'Anzi,64
1953_1,2,Nilla Pizzi-Doppio Quintetto Vocale-Teddy Reno-Quartetto Stars,Campanaro,B. Cherubini-C. Concina,56
1953_2,3,Achille Togliani-Teddy Reno,Lasciami cantare una canzone,M. Cozzoli-C. A. Bixio,41
1953_3,4,Gino Latilla-Doppio Quintetto Vocale-Giorgio Consolini,Vecchio scarpone,Calibi- Pinchi-C. Donida,41
1953_4,5,Gino Latilla-Giorgio Consolini,Vecchia villa comunale,R. Ruocco-N. Oliviero,40
1953_5,6,Achille Togliani-Katyna Ranieri,No Pierrot,A. Costanzo-R. Salani,39
1953_6,7,Carla Boni-Quartetto Stars,Il passerotto,E. Di Lazzaro-D. Valentini,33
1953_7,8,Nilla Pizzi-Doppio Quintetto Vocale-Teddy Reno-Quartetto Stars,Sussurrando buonanotte,Danpa- B. Pallesi-V. Panzuti,22
1953_8,9,Gino Latilla-Doppio Quintetto Vocale-Giorgio Consolini,Tamburino del reggimento,Deani,15
1953_9,10,Nilla Pizzi-Doppio Quintetto Vocale-Teddy Reno-Quartetto Stars,Papà Pacifico,N. Rastelli-A. Fragna,2
1954_0,1,Giorgio Consolini-Gino Latilla,Tutte le mamme,U. Bertini-E. Falcocchio,92
1954_1,2,Katyna Ranieri-Achille Togliani,Canzone da due soldi,Pinchi-C. Donida,88
1954_2,3,Gino Latilla-Franco Ricci,...e la barca tornò sola,M. Ruccione,77
1954_3,4,Natalino Otto-Vittoria Mongardi,Notturno (Per chi non ha nessuno),F. S. Mangieri,60
1954_4,5,Flo Sandon's-Carla Boni,Non è mai troppo tardi,D. Olivieri,55
1954_5,6,Quartetto Cetra-Vittoria Mongardi-Duo Fasano,Aveva un bavero,M. Panzeri-V. Ripa,40
1954_6,7,Gino Latilla-Duo Fasano-Katyna Ranieri-Giorgio Consolini,Sotto l'ombrello,N. Casiroli,25
1954_7,8,Achille Togliani-Natalino Otto,Mogliettina,S. Seracini,12
1954_8,9,Achille Togliani-Flo Sandon's-Natalino Otto,Con te,A. De Curtis,10
1954_9,10,Achille Togliani-Natalino Otto,Donnina sola,S. Simoni- A. Valleroni-M. Casini,9
1955_0,1,Claudio Villa-Tullio Pane,Buongiorno tristezza,G. Fiorelli-M. Ruccione,67
1955_1,2,Claudio Villa-Tullio Pane,Il torrente,C. A. Liman-L. Carmi,"38,2"
1955_2,3,Natalino Otto-Trio Aurora-Bruno Pallesi- Nuccia Bongiovanni-Radio Boys,Canto nella valle,M. Panzeri-U. Fusco,"33,6"
1955_3,4,Claudio Villa-Narciso Parigi,Incantatella,E. Bonagura,"27,4"
1955_4,5,Antonio Basurto-Gianni Ravera,Un cuore,P. Mendes-E. Falcocchio,"20,4"
1955_5,6,Jula de Palma-Marisa Colomber,L'ombra,W. Colì,"14,4"
1955_6,7,Narciso Parigi-Radio Boys-Natalino Otto-Trio Aurora,Ci ciu cì (Cantava un usignol),E. Minoretti-S. Seracini,"10,4"
1955_7,8,Natalino Otto-Antonio Basurto,Una fotografia nella cornice,Lucia Mannucci-E. Fecchi,"9,6"
1956_0,1,Franca Raimondi,Aprite le finestre,Pinchi-V. Panzuti,171
1956_1,2,Tonina Torrielli,Amami se vuoi,M. Panzeri-V. Mascheroni,163
1956_2,3,Luciana Gonzales,La vita è un paradiso di bugie,D. Calcagno-N. Oliviero,153
1956_3,4,Tonina Torrielli,Il cantico del cielo,A. Testa-C. A. Rossi,92
1956_4,5,Ugo Molinari,La colpa fu,Gippi- L. Beretta-E. Sciorilli,88
